path,relative_path,top_folder,raw_class,class,extension,format,mode,file_size_mb,width,height,megapixels,aspect_ratio,orientation,sha256,phash_int,phash
"C:\Users\Vladimir\Yandex.Disk\Загрузки\Задача 3. Скажи мне, кто твой шлиф\Панорамы\10.jpg",Панорамы\10.jpg,Панорамы,Панорамы,Панорамы,.jpg,JPEG,RGB,54.70395,14999,10391,155.854609,1.443460687133096,landscape,e08f0b4a41fa99a22f76e3aeb39f3c7f68535b12c55feb47b2a0335225a083be,12458604549649345189,ace5dad452ea2aa5
"C:\Users\Vladimir\Yandex.Disk\Загрузки\Задача 3. Скажи мне, кто твой шлиф\Панорамы\11.jpg",Панорамы\11.jpg,Панорамы,Панорамы,Панорамы,.jpg,JPEG,RGB,48.963699,13416,9642,129.357072,1.3914125700062228,landscape,6877272176cef738cde61540e3624f9a9e5cb4253db5708002a0c5be58c75232,16550529043505655716,e5af4a7a02f0afa4
"C:\Users\Vladimir\Yandex.Disk\Загрузки\Задача 3. Скажи мне, кто твой шлиф\Панорамы\12.jpg",Панорамы\12.jpg,Панорамы,Панорамы,Панорамы,.jpg,JPEG,RGB,56.386925,14113,10339,145.914307,1.3650256311055229,landscape,f4f27ed610d642edab52d894659f47cf001a88728403606667c222713e4661e6,17028565763297150644,ec519e572bb486b4
"C:\Users\Vladimir\Yandex.Disk\Загрузки\Задача 3. Скажи мне, кто твой шлиф\Панорамы\13.jpg",Панорамы\13.jpg,Панорамы,Панорамы,Панорамы,.jpg,JPEG,RGB,48.521596,13330,9489,126.48837,1.4047844873010855,landscape,3343be2ebfe4be667ae099f08b97055fdbaf58d85d077ee292a80d7599aa40cc,17253465317527323308,ef709f4b23bd02ac
"C:\Users\Vladimir\Yandex.Disk\Загрузки\Задача 3. Скажи мне, кто твой шлиф\Панорамы\14.jpg",Панорамы\14.jpg,Панорамы,Панорамы,Панорамы,.jpg,JPEG,RGB,114.95192,20642,14585,301.06357,1.4152896811792939,landscape,47b663d78367c183b6e48ee2316521812c89489820e75faed446655368532546,15055652617430185607,d0f06c498b9b3687
"C:\Users\Vladimir\Yandex.Disk\Загрузки\Задача 3. Скажи мне, кто твой шлиф\Панорамы\15.jpg",Панорамы\15.jpg,Панорамы,Панорамы,Панорамы,.jpg,JPEG,RGB,56.414537,16439,9347,153.655333,1.7587461217502942,landscape,ba9dcf9080ef814363d8c09bfe50c0cc414825e66fb183f298e5527b185d5ec8,11660067734799342248,a1d0e1d3bdb55aa8
"C:\Users\Vladimir\Yandex.Disk\Загрузки\Задача 3. Скажи мне, кто твой шлиф\Панорамы\16.jpg",Панорамы\16.jpg,Панорамы,Панорамы,Панорамы,.jpg,JPEG,RGB,221.60984,27025,21227,573.659675,1.2731426956234984,landscape,34d4c7be918f74065b5de8f158f9df928b2f45b66e12c90c9289f469710ac9f0,17693465081563447375,f58bd0bf685e004f
"C:\Users\Vladimir\Yandex.Disk\Загрузки\Задача 3. Скажи мне, кто твой шлиф\Панорамы\17.jpg",Панорамы\17.jpg,Панорамы,Панорамы,Панорамы,.jpg,JPEG,RGB,101.417677,18495,13730,253.93635,1.3470502549162418,landscape,88e1b9306a5d18430390a036c1aeb00769d69fbdac3861a93db39169f6941a7c,10246491079327887201,8e32d959318c2f61
"C:\Users\Vladimir\Yandex.Disk\Загрузки\Задача 3. Скажи мне, кто твой шлиф\Панорамы\4.jpg",Панорамы\4.jpg,Панорамы,Панорамы,Панорамы,.jpg,JPEG,RGB,54.815086,13712,10798,148.062176,1.2698647897758844,landscape,c777acce3054eebdc1a1fc105237863f63e9d3f388d4c1c1110a98607d4b2705,14301280427895079464,c6785ac719eec228
"C:\Users\Vladimir\Yandex.Disk\Загрузки\Задача 3. Скажи мне, кто твой шлиф\Панорамы\5.jpg",Панорамы\5.jpg,Панорамы,Панорамы,Панорамы,.jpg,JPEG,RGB,128.577488,21841,16225,354.370225,1.3461325115562404,landscape,7f0c16346f5139335655753cff776bfdb47087c595a317d5df61bf960ae99db0,14017040178587750651,c28687c6e719d0fb
