phash_distance,same_class,class_a,class_b,path_a,path_b,sha_equal,resolution_a,resolution_b,mp_a,mp_b
0,False,Оталькованные руды,Рядовые руды,Фото руд по сортам. ч1\Оталькованные руды\DSCN4695.JPG,Фото руд по сортам. ч2\рядовые\DSCN4695.JPG,True,2272x1704,2272x1704,3.871488,3.871488
0,False,Оталькованные руды,Рядовые руды,Фото руд по сортам. ч1\Оталькованные руды\DSCN4717.JPG,Фото руд по сортам. ч2\рядовые\DSCN4717.JPG,True,2272x1704,2272x1704,3.871488,3.871488
0,False,Оталькованные руды,Рядовые руды,Фото руд по сортам. ч1\Оталькованные руды\DSCN4721.JPG,Фото руд по сортам. ч2\рядовые\DSCN4721.JPG,True,2272x1704,2272x1704,3.871488,3.871488
0,False,Оталькованные руды,Рядовые руды,Фото руд по сортам. ч1\Оталькованные руды\DSCN4731.JPG,Фото руд по сортам. ч2\рядовые\DSCN4731.JPG,True,2272x1704,2272x1704,3.871488,3.871488
0,False,Оталькованные руды,Рядовые руды,Фото руд по сортам. ч1\Оталькованные руды\DSCN4732.JPG,Фото руд по сортам. ч2\рядовые\DSCN4732.JPG,True,2272x1704,2272x1704,3.871488,3.871488
0,False,Оталькованные руды,Рядовые руды,Фото руд по сортам. ч1\Оталькованные руды\DSCN4735.JPG,Фото руд по сортам. ч2\рядовые\DSCN4735.JPG,True,2272x1704,2272x1704,3.871488,3.871488
0,False,Оталькованные руды,Рядовые руды,Фото руд по сортам. ч1\Оталькованные руды\DSCN4755.JPG,Фото руд по сортам. ч2\рядовые\DSCN4755.JPG,True,2272x1704,2272x1704,3.871488,3.871488
0,False,Оталькованные руды,Рядовые руды,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4717.JPG,Фото руд по сортам. ч2\рядовые\DSCN4717.JPG,False,2272x1704,2272x1704,3.871488,3.871488
0,False,Оталькованные руды,Рядовые руды,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4731.JPG,Фото руд по сортам. ч2\рядовые\DSCN4731.JPG,False,2272x1704,2272x1704,3.871488,3.871488
0,False,Оталькованные руды,Рядовые руды,Фото руд по сортам. ч1\Оталькованные руды\Области оталькования\DSCN4732.JPG,Фото руд по сортам. ч2\рядовые\DSCN4732.JPG,False,2272x1704,2272x1704,3.871488,3.871488
0,False,Оталькованные руды,Рядовые руды,Фото руд по сортам. ч2\оталькованные\DSCN4243.JPG,Фото руд по сортам. ч2\рядовые\DSCN4243.JPG,True,2272x1704,2272x1704,3.871488,3.871488
